 sa0   NO   U175/B
 sa0   NO   U238/A1
 sa0   NO   U247/A2
 sa1   NO   U250/A1
 sa1   NO   U253/A1
 sa1   NO   U255/A1
 sa1   NO   U255/A3
 sa1   DS   G1
 sa0   DS   G1
 sa1   DS   G10
 sa0   DS   G10
 sa1   DS   G11
 sa0   DS   G11
 sa1   DS   G12
 sa0   DS   G12
 sa1   DS   G13
 sa0   DS   G13
 sa0   DS   G14
 sa1   DS   G14
 sa1   DS   G15
 sa0   DS   G15
 sa1   DS   G16
 sa0   DS   G16
 sa1   DS   G17
 sa0   DS   G17
 sa1   DS   G18
 sa0   DS   G18
 sa1   DS   G19
 sa0   DS   G19
 sa0   DS   G2
 sa1   DS   G2
 sa1   DS   G20
 sa0   DS   G20
 sa0   DS   G21
 sa1   DS   G21
 sa0   DS   G22
 sa1   DS   G22
 sa0   DS   G23
 sa1   DS   G23
 sa0   DS   G24
 sa1   DS   G24
 sa1   DS   G25
 sa0   DS   G25
 sa1   DS   G26
 sa0   DS   G26
 sa1   DS   G27
 sa0   DS   G27
 sa1   DS   G28
 sa0   DS   G28
 sa0   DS   G29
 sa1   DS   G29
 sa1   DS   G3
 sa0   DS   G3
 sa1   DS   G30
 sa0   DS   G30
 sa1   DS   G31
 sa0   DS   G31
 sa1   DS   G32
 sa0   DS   G32
 sa0   DS   G33
 sa1   DS   G33
 sa0   DS   G34
 sa1   DS   G34
 sa0   DS   G35
 sa1   DS   G35
 sa1   DS   G36
 sa0   DS   G36
 sa0   DS   G37
 sa1   DS   G37
 sa0   DS   G38
 sa1   DS   G38
 sa0   DS   G39
 sa1   DS   G39
 sa1   DS   G4
 sa0   DS   G4
 sa0   DS   G40
 sa1   DS   G40
 sa0   DS   U200/Z
 sa1   --   U200/A
 sa1   --   U199/Z
 sa0   --   U199/A
 sa0   --   G41
 sa1   DS   U200/Z
 sa0   --   U200/A
 sa0   --   U199/Z
 sa1   --   U199/A
 sa1   --   G41
 sa1   DS   G5
 sa0   DS   G5
 sa1   DS   G6
 sa0   DS   G6
 sa1   DS   G7
 sa0   DS   G7
 sa1   DS   G8
 sa0   DS   G8
 sa1   DS   G9
 sa0   DS   G9
 sa0   DS   U119/A2
 sa0   --   U119/A3
 sa0   --   U119/A1
 sa0   --   U271/Z
 sa1   --   U271/A
 sa1   DS   U271/Z
 sa0   --   U271/A
 sa1   --   U119/A2
 sa1   DS   U272/Z
 sa0   --   U272/A1
 sa0   --   U272/A2
 sa1   --   U119/B2
 sa1   DS   U272/A2
 sa1   DS   U119/A3
 sa1   DS   U119/A1
 sa0   DS   U119/B1
 sa0   --   U119/B2
 sa0   --   U272/Z
 sa1   DS   U119/B1
 sa0   DS   G1355
 sa0   --   U119/Z
 sa1   DS   G1355
 sa1   --   U119/Z
 sa1   DS   U272/A1
 sa0   DS   U120/A2
 sa0   --   U120/A3
 sa0   --   U120/A1
 sa1   DS   U267/A2
 sa1   DS   U120/A2
 sa1   DS   U267/Z
 sa0   --   U267/A1
 sa0   --   U267/A2
 sa1   --   U120/B2
 sa1   DS   U267/A1
 sa1   DS   U120/A3
 sa1   DS   U120/A1
 sa0   DS   U120/B1
 sa0   --   U120/B2
 sa0   --   U267/Z
 sa1   DS   U120/B1
 sa0   DS   G1354
 sa0   --   U120/Z
 sa1   DS   G1354
 sa1   --   U120/Z
 sa0   DS   U121/A2
 sa0   --   U121/A3
 sa0   --   U121/A1
 sa0   --   U296/Z
 sa1   --   U296/A
 sa1   DS   U296/Z
 sa0   --   U296/A
 sa1   --   U121/A2
 sa1   DS   U297/Z
 sa0   --   U297/A1
 sa0   --   U297/A2
 sa1   --   U121/B2
 sa1   DS   U297/A2
 sa1   DS   U121/A3
 sa1   DS   U121/A1
 sa0   DS   U121/B1
 sa0   --   U121/B2
 sa0   --   U297/Z
 sa1   DS   U121/B1
 sa0   DS   G1353
 sa0   --   U121/Z
 sa1   DS   G1353
 sa1   --   U121/Z
 sa1   DS   U297/A1
 sa1   DS   U282/A1
 sa0   DS   U122/A2
 sa0   --   U122/A3
 sa0   --   U122/A1
 sa0   --   U281/Z
 sa1   --   U281/A
 sa1   DS   U281/Z
 sa0   --   U281/A
 sa1   --   U122/A2
 sa1   DS   U282/Z
 sa0   --   U282/A1
 sa0   --   U282/A2
 sa1   --   U122/B2
 sa1   DS   U282/A2
 sa1   DS   U122/A3
 sa1   DS   U122/A1
 sa0   DS   U122/B1
 sa0   --   U122/B2
 sa0   --   U282/Z
 sa1   DS   U122/B1
 sa0   DS   G1352
 sa0   --   U122/Z
 sa1   DS   G1352
 sa1   --   U122/Z
 sa1   DS   U273/A2
 sa1   DS   U123/A2
 sa1   DS   U273/Z
 sa0   --   U273/A1
 sa0   --   U273/A2
 sa1   --   U123/B2
 sa0   DS   U123/A2
 sa0   --   U123/A3
 sa0   --   U123/A1
 sa1   DS   U123/A1
 sa1   DS   U123/A3
 sa0   DS   U123/B1
 sa0   --   U123/B2
 sa0   --   U273/Z
 sa1   DS   U123/B1
 sa0   DS   G1351
 sa0   --   U123/Z
 sa1   DS   G1351
 sa1   --   U123/Z
 sa1   DS   U273/A1
 sa1   DS   G1350
 sa1   --   U124/Z
 sa1   DS   U268/A2
 sa1   DS   U124/A2
 sa1   DS   U268/Z
 sa0   --   U268/A1
 sa0   --   U268/A2
 sa1   --   U124/B2
 sa1   DS   U268/A1
 sa0   DS   U124/A2
 sa0   --   U124/A3
 sa0   --   U124/A1
 sa1   DS   U124/A3
 sa1   DS   U124/A1
 sa0   DS   U124/B1
 sa0   --   U124/B2
 sa0   --   U268/Z
 sa1   DS   U124/B1
 sa0   DS   G1350
 sa0   --   U124/Z
 sa1   DS   U298/A1
 sa1   DS   U298/A2
 sa0   DS   U125/A2
 sa0   --   U125/A3
 sa0   --   U125/A1
 sa1   DS   U125/A1
 sa1   DS   U125/A3
 sa1   DS   U125/A2
 sa0   DS   U125/B1
 sa0   --   U125/B2
 sa0   --   U298/Z
 sa1   DS   U125/B1
 sa1   DS   U298/Z
 sa0   --   U298/A1
 sa0   --   U298/A2
 sa1   --   U125/B2
 sa0   DS   G1349
 sa0   --   U125/Z
 sa1   DS   G1349
 sa1   --   U125/Z
 sa1   DS   U283/A1
 sa1   DS   U283/A2
 sa0   DS   U126/A2
 sa0   --   U126/A3
 sa0   --   U126/A1
 sa1   DS   U126/A2
 sa1   DS   U283/Z
 sa0   --   U283/A1
 sa0   --   U283/A2
 sa1   --   U126/B2
 sa1   DS   U126/A3
 sa1   DS   U126/A1
 sa0   DS   U126/B1
 sa0   --   U126/B2
 sa0   --   U283/Z
 sa1   DS   U126/B1
 sa0   DS   G1348
 sa0   --   U126/Z
 sa1   DS   G1348
 sa1   --   U126/Z
 sa0   DS   U127/A2
 sa0   --   U127/A3
 sa0   --   U127/A1
 sa1   DS   U127/A2
 sa1   DS   U274/Z
 sa0   --   U274/A1
 sa0   --   U274/A2
 sa1   --   U127/B2
 sa1   DS   U127/A3
 sa1   DS   U127/A1
 sa0   DS   U127/B1
 sa0   --   U127/B2
 sa0   --   U274/Z
 sa1   DS   U127/B1
 sa0   DS   G1347
 sa0   --   U127/Z
 sa1   DS   G1347
 sa1   --   U127/Z
 sa1   DS   U274/A1
 sa1   DS   U274/A2
 sa0   DS   U128/A2
 sa0   --   U128/A3
 sa0   --   U128/A1
 sa1   DS   U128/A2
 sa1   DS   U269/Z
 sa0   --   U269/A1
 sa0   --   U269/A2
 sa1   --   U128/B2
 sa1   DS   U269/A1
 sa1   DS   U128/A3
 sa1   DS   U128/A1
 sa0   DS   U128/B1
 sa0   --   U128/B2
 sa0   --   U269/Z
 sa1   DS   U128/B1
 sa0   DS   G1346
 sa0   --   U128/Z
 sa1   DS   G1346
 sa1   --   U128/Z
 sa1   DS   U269/A2
 sa0   DS   U129/A2
 sa0   --   U129/A3
 sa0   --   U129/A1
 sa1   DS   U299/A2
 sa1   DS   U129/A2
 sa1   DS   U299/Z
 sa0   --   U299/A1
 sa0   --   U299/A2
 sa1   --   U129/B2
 sa1   DS   U299/A1
 sa1   DS   U129/A3
 sa1   DS   U129/A1
 sa0   DS   U129/B1
 sa0   --   U129/B2
 sa0   --   U299/Z
 sa1   DS   U129/B1
 sa0   DS   G1345
 sa0   --   U129/Z
 sa1   DS   G1345
 sa1   --   U129/Z
 sa0   DS   U130/A2
 sa0   --   U130/A3
 sa0   --   U130/A1
 sa1   DS   U284/A2
 sa1   DS   U130/A3
 sa1   DS   U130/A1
 sa1   DS   U130/A2
 sa0   DS   U130/B1
 sa0   --   U130/B2
 sa0   --   U284/Z
 sa1   DS   U130/B1
 sa1   DS   U284/Z
 sa0   --   U284/A1
 sa0   --   U284/A2
 sa1   --   U130/B2
 sa0   DS   G1344
 sa0   --   U130/Z
 sa1   DS   G1344
 sa1   --   U130/Z
 sa1   DS   U284/A1
 sa1   DS   U275/A1
 sa1   DS   U131/A2
 sa1   DS   U275/Z
 sa0   --   U275/A1
 sa0   --   U275/A2
 sa1   --   U131/B2
 sa0   DS   U131/A2
 sa0   --   U131/A3
 sa0   --   U131/A1
 sa1   DS   U275/A2
 sa1   DS   U131/A3
 sa1   DS   U131/A1
 sa0   DS   U131/B1
 sa0   --   U131/B2
 sa0   --   U275/Z
 sa1   DS   U131/B1
 sa0   DS   G1343
 sa0   --   U131/Z
 sa1   DS   G1343
 sa1   --   U131/Z
 sa1   DS   G1342
 sa1   --   U132/Z
 sa1   DS   U132/A2
 sa1   DS   U270/Z
 sa0   --   U270/A1
 sa0   --   U270/A2
 sa1   --   U132/B2
 sa0   DS   U132/A2
 sa0   --   U132/A3
 sa0   --   U132/A1
 sa1   DS   U270/A1
 sa1   DS   U270/A2
 sa1   DS   U132/A3
 sa1   DS   U132/A1
 sa0   DS   U132/B1
 sa0   --   U132/B2
 sa0   --   U270/Z
 sa1   DS   U132/B1
 sa0   DS   G1342
 sa0   --   U132/Z
 sa1   DS   U300/A1
 sa1   DS   U133/A2
 sa1   DS   U300/Z
 sa0   --   U300/A1
 sa0   --   U300/A2
 sa1   --   U133/B2
 sa1   DS   U300/A2
 sa0   DS   U133/A2
 sa0   --   U133/A3
 sa0   --   U133/A1
 sa1   DS   U133/A3
 sa1   DS   U133/A1
 sa0   DS   U133/B1
 sa0   --   U133/B2
 sa0   --   U300/Z
 sa1   DS   U133/B1
 sa0   DS   G1341
 sa0   --   U133/Z
 sa1   DS   G1341
 sa1   --   U133/Z
 sa1   DS   U285/A1
 sa1   DS   U285/A2
 sa1   DS   U134/A2
 sa1   DS   U285/Z
 sa0   --   U285/A1
 sa0   --   U285/A2
 sa1   --   U134/B2
 sa0   DS   U134/A2
 sa0   --   U134/A3
 sa0   --   U134/A1
 sa1   DS   U134/A3
 sa1   DS   U134/A1
 sa0   DS   U134/B1
 sa0   --   U134/B2
 sa0   --   U285/Z
 sa1   DS   U134/B1
 sa0   DS   G1340
 sa0   --   U134/Z
 sa1   DS   G1340
 sa1   --   U134/Z
 sa0   DS   U137/A2
 sa0   DS   U135/A2
 sa1   DS   U137/Z
 sa1   --   U137/A1
 sa1   --   U137/A2
 sa1   --   U136/B2
 sa0   DS   U135/A3
 sa0   DS   U135/A1
 sa0   DS   U135/B2
 sa1   DS   U136/A1
 sa0   DS   U136/A1
 sa0   --   U136/A2
 sa1   DS   U135/A3
 sa1   --   U135/A1
 sa1   --   U135/A2
 sa0   DS   U136/Z
 sa0   --   U135/B1
 sa1   DS   U135/Z
 sa1   DS   U136/A2
 sa1   DS   U136/B1
 sa0   DS   U137/A1
 sa1   DS   U135/B2
 sa1   --   U135/B1
 sa1   --   U136/Z
 sa0   DS   U135/Z
 sa0   DS   U136/B1
 sa0   --   U136/B2
 sa0   --   U137/Z
 sa1   DS   U276/A2
 sa1   DS   U138/A2
 sa1   DS   U276/Z
 sa0   --   U276/A1
 sa0   --   U276/A2
 sa1   --   U138/B2
 sa0   DS   U138/A2
 sa0   --   U138/A3
 sa0   --   U138/A1
 sa1   DS   U138/A3
 sa1   DS   U138/A1
 sa0   DS   U138/B1
 sa0   --   U138/B2
 sa0   --   U276/Z
 sa1   DS   U138/B1
 sa0   DS   G1339
 sa0   --   U138/Z
 sa1   DS   G1339
 sa1   --   U138/Z
 sa1   DS   U276/A1
 sa0   DS   U139/A2
 sa0   --   U139/A3
 sa0   --   U139/A1
 sa1   DS   U263/A1
 sa1   DS   U139/A2
 sa1   DS   U263/Z
 sa0   --   U263/A1
 sa0   --   U263/A2
 sa1   --   U139/B2
 sa1   DS   U263/A2
 sa1   DS   U139/A3
 sa1   DS   U139/A1
 sa0   DS   U139/B1
 sa0   --   U139/B2
 sa0   --   U263/Z
 sa1   DS   U139/B1
 sa0   DS   G1338
 sa0   --   U139/Z
 sa1   DS   G1338
 sa1   --   U139/Z
 sa0   DS   U140/A2
 sa0   --   U140/A3
 sa0   --   U140/A1
 sa1   DS   U140/A2
 sa1   DS   U301/Z
 sa0   --   U301/A1
 sa0   --   U301/A2
 sa1   --   U140/B2
 sa1   DS   U301/A2
 sa1   DS   U140/A3
 sa1   DS   U140/A1
 sa0   DS   U140/B1
 sa0   --   U140/B2
 sa0   --   U301/Z
 sa1   DS   U140/B1
 sa0   DS   G1337
 sa0   --   U140/Z
 sa1   DS   G1337
 sa1   --   U140/Z
 sa1   DS   U301/A1
 sa1   DS   U286/A1
 sa1   DS   U141/A2
 sa1   DS   U286/Z
 sa0   --   U286/A1
 sa0   --   U286/A2
 sa1   --   U141/B2
 sa0   DS   U141/A2
 sa0   --   U141/A3
 sa0   --   U141/A1
 sa1   DS   U286/A2
 sa1   DS   U141/A3
 sa1   DS   U141/A1
 sa0   DS   U141/B1
 sa0   --   U141/B2
 sa0   --   U286/Z
 sa1   DS   U141/B1
 sa0   DS   G1336
 sa0   --   U141/Z
 sa1   DS   G1336
 sa1   --   U141/Z
 sa1   DS   U277/A1
 sa0   DS   U142/A2
 sa0   --   U142/A3
 sa0   --   U142/A1
 sa1   DS   U142/A2
 sa1   DS   U277/Z
 sa0   --   U277/A1
 sa0   --   U277/A2
 sa1   --   U142/B2
 sa1   DS   U277/A2
 sa1   DS   U142/A3
 sa1   DS   U142/A1
 sa0   DS   U142/B1
 sa0   --   U142/B2
 sa0   --   U277/Z
 sa1   DS   U142/B1
 sa0   DS   G1335
 sa0   --   U142/Z
 sa1   DS   G1335
 sa1   --   U142/Z
 sa1   DS   U264/A1
 sa0   DS   U143/A2
 sa0   --   U143/A3
 sa0   --   U143/A1
 sa1   DS   U143/A1
 sa1   DS   U264/A2
 sa1   DS   U143/A3
 sa1   DS   U143/A2
 sa0   DS   U143/B1
 sa0   --   U143/B2
 sa0   --   U264/Z
 sa1   DS   U143/B1
 sa1   DS   U264/Z
 sa0   --   U264/A1
 sa0   --   U264/A2
 sa1   --   U143/B2
 sa0   DS   G1334
 sa0   --   U143/Z
 sa1   DS   G1334
 sa1   --   U143/Z
 sa1   DS   G1333
 sa1   --   U144/Z
 sa1   DS   U302/A2
 sa1   DS   U144/A2
 sa1   DS   U302/Z
 sa0   --   U302/A1
 sa0   --   U302/A2
 sa1   --   U144/B2
 sa1   DS   U302/A1
 sa0   DS   U144/A2
 sa0   --   U144/A3
 sa0   --   U144/A1
 sa1   DS   U144/A3
 sa1   DS   U144/A1
 sa0   DS   U144/B1
 sa0   --   U144/B2
 sa0   --   U302/Z
 sa1   DS   U144/B1
 sa0   DS   G1333
 sa0   --   U144/Z
 sa1   DS   U288/A2
 sa1   DS   U145/A1
 sa0   DS   U145/A2
 sa0   --   U145/A3
 sa0   --   U145/A1
 sa0   --   U287/Z
 sa1   --   U287/A
 sa1   DS   U287/Z
 sa0   --   U287/A
 sa1   --   U145/A2
 sa1   DS   U288/Z
